
Host: TUF

Timers On : Mon Jul  7 09:47:27 2025
Timers Off: Mon Jul  7 09:47:33 2025

Wall Time:        6.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.250u      0.017s      0.166w      4 calls
build grid                          :      0.150u      0.000s      0.104w      4 calls
post-process grid                   :      0.100u      0.000s      0.061w      4 calls
DFH: sparsity prep                  :      0.033u      0.033s      0.040w      4 calls
Libint2ERI::Libint2ERI              :      0.067u      0.033s      0.045w     12 calls
DFH: initialize()                   :      0.100u      0.017s      0.070w      4 calls
DFH: AO Construction                :      0.017u      0.000s      0.011w      4 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.002w      4 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.150u      0.017s      0.131w      4 calls
SAD Guess                           :      0.150u      0.017s      0.124w      4 calls
HF: Form G                          :      4.967u      0.117s      3.025w     36 calls
RV: Form V                          :      4.967u      0.083s      3.008w     36 calls
Properties                          :      0.500u      0.017s      0.407w  19944 calls
Functional                          :      3.667u      0.067s      2.066w  19944 calls
V_xc                                :      0.717u      0.000s      0.473w  19944 calls
JK: D                               :      0.000u      0.000s      0.000w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     36 calls
JK: JK                              :      0.000u      0.017s      0.006w     36 calls
DFH: compute_JK()                   :      0.000u      0.017s      0.006w     36 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     36 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     36 calls
DFH: compute_K                      :      0.000u      0.017s      0.003w     28 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.000w     36 calls
HF: Form D                          :      0.000u      0.000s      0.000w     36 calls
HF: DIIS                            :      0.367u      0.050s      0.295w     32 calls
HF: Form C                          :      0.000u      0.000s      0.015w     32 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.250u      0.017s      0.166w      4 calls
| build grid                        :      0.150u      0.000s      0.104w      4 calls
| post-process grid                 :      0.100u      0.000s      0.061w      4 calls
DFH: sparsity prep                  :      0.033u      0.033s      0.040w      4 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.033s      0.031w      4 calls
DFH: initialize()                   :      0.100u      0.017s      0.070w      4 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      8 calls
| DFH: AO Construction              :      0.017u      0.000s      0.011w      4 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.002w      4 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.150u      0.017s      0.131w      4 calls
| SAD Guess                         :      0.150u      0.017s      0.124w      4 calls
HF: Form G                          :      4.967u      0.117s      3.025w     36 calls
| RV: Form V                        :      4.967u      0.083s      3.008w     36 calls
| | Properties                      :      0.500u      0.017s      0.407w  19944 calls
| | Functional                      :      3.667u      0.067s      2.066w  19944 calls
| | V_xc                            :      0.717u      0.000s      0.473w  19944 calls
| JK: D                             :      0.000u      0.000s      0.000w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     36 calls
| JK: JK                            :      0.000u      0.017s      0.006w     36 calls
| | DFH: compute_JK()               :      0.000u      0.017s      0.006w     36 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     36 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     36 calls
| | | DFH: compute_K                :      0.000u      0.017s      0.003w     28 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.000w     36 calls
HF: Form D                          :      0.000u      0.000s      0.000w     36 calls
HF: DIIS                            :      0.367u      0.050s      0.295w     32 calls
HF: Form C                          :      0.000u      0.000s      0.015w     32 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 09:50:19 2025
Timers Off: Mon Jul  7 09:50:20 2025

Wall Time:        0.57 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 09:50:22 2025
Timers Off: Mon Jul  7 09:50:23 2025

Wall Time:        1.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

